year,locationcode,subbrandcode,country,storename,abm,user_country,user_channel,openingdate,store_opg_year,storetype,customer,docdate,ulp,mobileno,nps,hni,gep,indian,nr,tourist,forbill,invoice_type,usd_conv,aed_conv,inr_conv,totalbill,studbill,gender,maritalstatus,nationality,community,enroll_loccode,kpitypea,rcluster,product_group,user_region,tep,active_repeat,catchment,ltltype,target_field,walkins,conversions,qty,salesvalue,actwt,discount,tax,nsv,makingcharge,goldprice,stonevalue,usd_salesvalue,usd_discount,usd_tax,usd_nsv,usd_makingcharge,usd_goldprice,usd_stonevalue,aed_salesvalue,aed_discount,aed_tax,aed_nsv,aed_makingcharge,aed_goldprice,aed_stonevalue,inr_salesvalue,inr_discount,inr_tax,inr_nsv,inr_makingcharge,inr_goldprice,inr_stonevalue,studdedsales,plainsales,gep_salesvalue,studded_qty,studgep_salesvalue,totalbuyers,studdedbuyers,plainbuyers,btq
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,600000829603,21/12/2025,600000829603,8c33142ba05005ceda0cb46a508bc9ed,PROMOTERS,N,N,Y,REPEAT,N,2025XAH144,STORE,0.2674,1,23,1,1,MALE,MARRIED,NOTMAPPED,OTHERS,XDB,ACTUALS,STUDDED,STUDDED,EOA,N,Y,ABU DHABI,LTL,0,0,0,1,1008.44,2.915,26.82,54.74,941.88,172.17,728.73,67.8,273.982856,7.497668,14.498276,251.986912,48.968658,201.188402,27.32752,1008.44,23.82,47.74,936.88,178.17,719.73,71.8,22967.12,390.86,1076.02,21506.24,3868.91,16533.79,1500.4,267.982856,0,0,1,0,1,1,0,XAH
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],30/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,10,7,0,10,10,5,6,2,9,1,8,3,5,3,10,6,9,10,8,6,9,9,5,3,6,9,7,8,2,3,6,3,8,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],24/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,5,4,0,5,8,9,8,6,3,1,7,4,6,7,6,9,10,10,3,3,9,1,8,1,1,3,3,4,1,1,3,2,8,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],23/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,5,4,0,10,7,8,7,5,1,10,6,7,2,10,5,3,1,3,2,9,4,5,1,8,2,2,1,7,10,3,10,8,4,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],11/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,8,6,0,9,2,2,1,3,3,10,4,4,1,3,10,5,5,2,10,10,9,3,4,6,1,10,7,9,7,8,2,4,8,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],08/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,8,6,0,8,8,1,2,2,7,9,6,10,7,9,8,4,8,8,2,3,10,1,6,2,7,4,5,9,10,4,8,5,6,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],04/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,0,0,0,1,7,2,7,2,9,10,3,4,1,4,4,4,9,4,2,4,8,3,9,7,9,2,1,8,8,4,3,9,7,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],02/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,ACTUALS,WALKINS,WALKINS,EOA,N,N,ABU DHABI,LTL,0,8,5,0,6,7,5,4,8,9,4,1,4,9,5,1,5,7,3,3,9,8,5,10,2,5,6,10,6,4,5,8,6,7,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],01/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,GEP_CNAMT,GEP_CNAMT,GEP_CNAMT,EOA,N,N,ABU DHABI,LTL,0,0,0,0,66798,8,2,7,2,8,8,3,17870.52,1,6,5,9,3,3,66807,6,9,5,3,6,3,"15,36,334",3,5,1,9,8,2,2,0,0,0,0,0,0,0,[NULL]
FY26,XAH,TANISHQ,UAE,HAMDAN ST- ABU DHABI,KSHITIJ,UAE,STORE,02/10/2022,02/10/2022,EXISTING,[NULL],06/12/2025,N,N,N,N,N,N,REPEAT,N,N,N,0,0,0,0,0,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,NOTMAPPED,GEP_CNAMT,GEP_CNAMT,GEP_CNAMT,EOA,N,N,ABU DHABI,LTL,0,0,0,0,44025,9,9,8,7,6,9,8,11775.95,9,7,5,7,7,3,44024,10,1,1,2,6,1,"10,12,463",5,7,6,8,5,1,5,0,0,0,0,0,0,0,[NULL]
